,id,accountId,puuid,name,profileIconId,revisionDate,summonerLevel
16,3HXS4cR06nucwfqkcOfwAAJcpueNAaNMno7dZFG_TLrdPJo,XdcIaNDZnm6RQAu1g2OKZnBWBe31leZafgfROWKHoiOEqiQ,TRMLJ06AqHiVmrmFfrjRFdiA2GJVuCQkC_2CFdv3_HbmT09qQHcvSZgslzq74zMh89wmfSa8yysFcA,LetsAllLoveLain,1637,1558904884000,158
17,rdToHkZuaQKjeqOqhx6yWMvSf0R9IQOOQW4_FCODOphBznA,GV6oJsGz4Gjog3lYKRbKrvRoSWV9wVUOhWGLODShzFQ6znc,9AWOTIUIAcfUCOJaQkWNIL0HxgybblowqAtLHHb3CBwMr8EKP22ROWgdgdx9Fy79kMBHJCVYqen_mA,Moé,23,1558932105000,92
18,L2YujJTXhP816ESKqzTGL2xm8BE8LaB2oXVuH0XDnOi2gk8,mcPBbgttPAFOrxCzOxvlphIuQtmIkuZ5YQ5QvFGoUm4Uwg,fE3LXrW8YOp06UW5kJN87rEvjze9v7QlE5qTPPFYBiegtbfuVIpsB2KNzc5pLa6w2UsBjP_3JHbRmw,Darkiceheart,3201,1558748615000,63
19,RzUuSu-JIOKd4PbhuiDq_LTVc00tnMhWpa-zuQg2UaAtlT0,bvUvVIwc0ECOFfjAJdrfZnhp9xGL0Fdc_KtzSzx6R1cbX4E,6YO2NQrdZZOL2MWpKncJAAU72XyCuw1uABCuHhVdQUq6CZjCqlivnOvh-U0-T4hzxNY3QhPpzUnYRw,RobbySinger,779,1558972809000,168
20,btUysN7NK90gu4P-yhWDh5WtGbeVPokG0yoe4r4qylTkEyY,aMyo3_zpLQLRz19LdMg1AlMcOkw-FulmbiDeIuZDXIC-GQ,hA8bUrsWWdmi9nf-91z4AGB0DmuwP9isdr-XITsaekMcmQq7ikshmacvEi4E_yNO1uiQiC_A67LOPw,Decade Dance,3790,1558944728000,101
21,iLRscnnOtEcPYAx57aByXzFMZpen-lw-1Lkwib_mTF_cafo,0aw2WvZlFPf4AMeoIUnXFcowsKqQseGatTd7h5FmzOmWbEc,a-V06XqhiDO1eZC0CwjJyhF5V1I3jdX39O9HweenWLz7pN-UCmMVqkMT_KU_4z8EGoKJIRQZyEAyFA,supersayainbroly,4057,1558694250000,185
22,l1YImoCYMiDd9DMkuEScmoKPGKQDOGwYhGxWBlW4fq6coWU,EEohpLGf_LN1BAa9-k2ht27ms4OOqUTXO8YnCyyEFYhLUg,yrP18asDVAi_NV8F8fQytMAsisasiUGG1f7YhVeWDLEObRMECDAtxHUrAULwFURoriT_oVF7Dox2iA,Lightbribe,3838,1558537304000,77
23,6a0Af8Irg352teo4ak9faHp6HI8E6VwjBVUGq8DnjgB7ncE,U2zj_kV5_kkpeZNadm1vTCqd6tulMUvi-PNiDMb_wOd7Hw,j8jzP9gdWX31IYH4jj4iYaaopQ0HXCSUyF8CdxhTgnW1Fuc0zJ3pL-MFpT6roBqqGeXDwwE0Tnb6dg,OsmanthusMilkTea,7,1558948308000,53
24,VbRZXyDbunvwYgLblLKHNP-ek8qMuEpNJar6hTIl4sOeQGo,TpF2yl7nZxzYS6aUK4JDyyX1UvneaL9G7aHFcArMvFyqUlk,zvcS8r0qwVGzN0kJUVmS6lXQJpF-mih2qLXZUomM_xma0eQ3BMbGZqaAIRPnIDkZWzLoyY2JD-F3rw,Killfrost,4050,1557922670000,55
25,A_cAyrc-A5gcJ3tzuOQT2R6NBKWiFCWwgEqK-msVFXhQJ2E,bD6WQb5fGMiQjNngb67VZ5PsmD6mRfjwmPM0R5m0SV8DfQ,rqq6I3-hRW_LQZhZunj3IsnqfGzlrPf__O9EHO2MYRDA89mSvN48UwnB4PYi2kS92o1HnqKC8rLqnw,StrainTheChain,3196,1557285921000,68
