id,accountId,puuid,name,profileIconId,revisionDate,summonerLevel,c1,c2,c3,c4,c5
M7JR4cyz2zGg60pCDv58tqIQo6nA4mVKEQ9GqSJoDC_VEIw,sWpdJg8t8ajt1EV65UIe2Jq0sZP-3nh6irCBcC0PBICOC64,hOkWNgA2uApRPaBRFIzXa8HWCQOhjtMVLuas7T2YB7Qxnc7xhT4YCr21M6ZEAx7C20srAo6dOtVDuw,ConRongChauTien,662,1558817775000,122,,,,,
IOAWi7PIfz-fPQEIqz58ONeSHH1Y9CKhUTpsSX2Afm1vBcQ,pxNnpL2lD0jA6WGuvNNsMgCX-d4wVdDZEb4q29zapliYimE,qEM9-aXhKWc15wPftXTBEibLPZjKiPxYrANbi49-B8QcMfxctJbH3tu4F7TVL-RXJbVdJ_NTXw-Alg,FizzingInMyJayce,4027,1558667815000,92,,,,,
ftKF7R0KL-BGtV00i9iYOHWJPweacCDzjlprkQcJf8igAaU,vDN9JYptT4hbszeNykbApbaaJkdLmRv_Fl6BQ9ZrZ3yctCc,eBt4ELdwlcF4RyQrVeN6cMnhfyHQgodJYbKzz3tMzf-NANeRYRWm2VC-iK1jt4MJL_Elw4_Vli5gFA,JayRock77,657,1554248179000,31,,,,,
1hYQcaUCtzqowtb4yoeVolapD5XvPRC0e7D8vnLBujnyhcI,Eg8zeJiIbkmbQjCObRcx8fl2FgrKg-OIH-ih2aExhc0xaZX07kvXNVnm,mehTAhBXAcD94eFEHLO5BIz7yURyhz7GKcS3ex0Crvq5yQOeusOO9bQ38M8HXEPGY25salp98aDFBg,SSGSSAG,4087,1558977598000,51,,,,,
07WhOL4hWlEaVlykbhgZ5K10gC5atJY2-XOehHcelCOh9SU,SgjEhEX59OUmJvTr3trVPVPYjO1qNLFQx7KKNzc3W4wn29w,L5Jc3V-cPX5Y0BfMqegaIXE6Sm3xwhZPvVKnhYKueEl_AWS9WRELGUBp0zwphn9vXSQdTfzCZ_8lqw,Frankishf,28,1558977707000,95,,,,,
BVD9o2g11DA7i8t_ev-kL0Yq5NkTrAq_hoS6aWMkHAT0W70,yfAjfi9ot0hTovRb-WsWK23abcvNG5qHeMFskz5Q_8KVgQ,YlsX4rxx6DJOBHD7w1MciNnYbZoBd7dRyV4u9qmgGFohhfr4an91wHQHr6i-KeHXzj0o-t0z9XE3rA,ELMEXICANCHILE,3903,1558980971000,104,,,,,
hZaT1FBt36tNxN7GbTOnVVsfrP1jymFqZ6bPlEsUZ0TDZA8,WQ9IzqZq4xnL-IgLTBSfIUt4J1sDfGl6CRPcWfDlhwtbtw0,xIVZi2AGu3w6XbUari2S7zfAwhbBUnjn50FV_Rk_Vp0SYA7VelUmWByh8xqo_1uz2xxqEHfCLHvFcw,chrisis619,4027,1558673145000,73,,,,,
hDwpPkmcegtavmedC1GRB_WfH8zQs5_v2IhZ3IMiDlJy0cg,jV1eIlIXAYLmRzcbWt2n4xa9lPG5-X7YiDrYj53oe124q4Y,qRIA11urvVGNlJtbkRxWFmR5TXOTo5cme9XGdEcg62sVvNup3LIcHwcHqF8R9A0OjAmP0bdKCpduDA,comet2,1378,1553915113000,30,,,,,
S8XPDsqRA-mygTYcy4FyzJjOGaB7zKUzhi2LkyP7aNxyifc,o3PbGCM4Dsf9y6HnJh11AIcPF5ReEKm0n9JegjFlBX6i54ukNz4DCofS,WwpgWjYBxvtz-yjOGrY7Ld8slCdl8Yu4aLv9-rVuQ--PgXq4kur2P7G1_fAY_h8holzRloLER779hA,TryhardisrsRekts,1105,1558998808000,64,,,,,
Porf2jstrJRXxpQutvJ_-vZE9vppOC4PfwRCylqt9meE30CX,JR_CSAkLto_w1jXLPp633ZIydq-GaYcmZVQqaZxTtM1fsZnMnlipa6B-,_P1tckOWDYzj1qlSb0A1_po__3rqLvIVQVGzWvhikeLh85SK9J_avrO6XBnw05IHSS1sf4FQ0L0wAA,Samline21,4089,1558965685000,107,,,,,
